Tembung,Ngoko,Krama,Ki,Notes
Jam,jam,pukul,-,
Pas,pas,-,-,
Lebih,luwih,langkung,-,
1/4,seprapat,seprasekawan,-,
1/2,setengah,setengah,-,
Sekarang,saiki,samenika,-,samangke
Nanti,mengko,mangke,-,
Tadi,dhek mau/mau,(kala) wau,-,
Kira-kira,kira-kira/watara/udakara,kinten-kinten,-,
Tutup,tutup,-,-,
Buka,bukak,bikak,-,
Tidur,turu,tilem,sare,
Besok,sesuk,benjing,-,
(someday in the future),sukemben,benjing emben,-,
Semalam/Kemarin,wingi,kala wingi,-,
Dulu,mbiyen/dhek mben,kala emben/kala semanten/kala rumiyen,-,
Bangun,tangi,tangi,wungu,
Mandi,adus,adus,siram,
Makan,mangan,nedha,dhahar,
Berangkat,mangkat/budhal,bidhal,-,
Sampai,tekan,dumugi,-,masih di jalan/still ongoing
Tiba/Sehingga,teka,dhateng,rawuh,biasanya digunakan untuk tempat cth. saka jogja tekan solo
Sampai/Sehingga,nganti,ngantos,-,biasanya digunakan untuk waktu cth. nyambut gawa saka 8 nganti 6
Pulang,bali/mulih,wangsul,kondur,mantuk
Ajar,mulang,mucal,ngasta,
Bersihkan,ngresiki,-,-,
Memasak,mangsak,-,-,
Sedangkan/whereas,dene/wondene,-,-,connect 2 sentence which are related
Mau (sesuatu yg ditawarkan),gelem,purun,kersa,cth: wonten kersa - ada apa yg diperlukan?
Habis,entek,telas,-,
Warung,warung,wande,-,
Minum,ngombe,ngombe,ngunjuk,
Dibungkus,diwungkus,dipun-wungkus,-,
Untuk,kanggo,kangge,kagem,
Menggunakan,nganggo,ngangge/mawi,ngagem,
Lupa,lali,kesupen,-,cth: nglalekake keselamatan dhewe - melupakan keselematan diri
Jangan,aja,ampun (sampun),-,
Ingin,kepengin,-,-,
Enak,enak,eca,-,
Sangat,banget,sanget,-,nemen
Aja,wae,kemawon/mawon,-,
Masih,isih,taksih,-,
Nasi,sega,sekul,-,
Sayur,jangan,sayur,-,
Lauk,lawuh,-,-,
Daging Ikan,iwak,ulam,-,
Daging Ayam,iwak pitik,ulam ayam,-,
Daging Ikan (air tawar),iwak loh,ulam loh,-,
Daging Sapi,iwak sapi,ulam lembu,-,
Daging Kambing,iwak wedhus,ulam menda,-,
Telur,endhog,tigan,-,
Makanan,panganan,tetedhan,dhaharan,
Minuman (hangat),wedang,benteran,unjukan,
Sendok,sendhok,-,,
Garpu,garpu,-,-,
Piring,piring,lancaran,-,
Kuliner,mangsakan,-,,
Rasa,raos,,,
Menonton,ndelok/ndeleng,ningali,mirsani/mriksani,
Coba,nyoba,nyobi,-,
Membantu,ngerencangi/mbiyantu,-,-,
Bikin/buat,gawe/yasa,damel,ngasta,agawe = membuat
Rebus,godhog,-,-,
Goreng,goreng,-,-,
Manis,legi,manis,,
Masin,asin,,,
Pedas,pedhes,,,
Savoury,gurih,,,
Tawar,(anta),,,
Pahit,pait,,,
Masam,kecut,,,
Bicara,kandha,sanjang,ngendika,KA: matur (usually used in when referring to women/wife speaking)
Tergantung,gumantung,-,-,
Turun/Alight,mudhun,mandhap,medhak,
etc,lan liya-liyane,lan sanes-sanesipun,-,
Sering,kerep,asring,-,
atas,ndhuwur,nginggil,-,
bawah,ngisor,ngandhap,-,
depan,ngarep,ngajeng,-,
belakang,mburi,wingking,-,
kiri,kiwa,-,-,
kanan,tengen,-,-,
dalam,njero,nglebet,-,
luar,njaba,njawi,-,
sebelah,sisih,-,-,
bersebelahan,jejer,-,-,
berdiri,ngadeg,ngadeg,jumeneng,
duduk,lungguh,lungguh,lenggah,
pinggir,pinggir,-,-,
tengah,tengah,-,-,
utara,lor,ler,-,
selatan,kidul,-,-,
timur,wetan ,-,-,
barat,kulon,kilen,-,
sedang,lagi,nembe/saweg,-,atau baru saja
antara / in between,ing antara,ing antawis,-,
bus,bis,-,-,
begini / like this,ngene,mekaten,-,cth: ohhh ngene
kereta api,sepur/kereta,-,-,
pesawat,montor mabur,-,-,
kapal,prau,baita,-,
berjalan,mlaku,mlampah,tindak,
naik kenderaan,numpak/nunggang,numpak,nitih,
naik / board,munggah,minggah,-,
ganti,ganti,gantos,-,
Tunggu / Mengawasi,nunggu,nengga,-,"menunggu sesuatu yang sudah ada, watching over or looking over something"
bertemu,ketemu,pinanggih,-,
ketemu/ditemukan,ketemu,kepanggih,-,
bersama,bareng,sareng,-,
kalau,menawa/yen,menawi/bilih,-,
begitu / like that,ngono/ngaten,mekaten,-,cth: ohhh ngono
begitu / like that (far),ngana,mekaten,-,
ongkos,ongkos,-,-,
hanya,mung,namung,,
Sesudah,sawise,sasampunipun,-,
Sebelum,sedurunge,saderengipun,-,
Sebentar,sedhela,(kala) wingi,-,
Lama (waktu),suwe,dangu,-,
Memang,pancen,panci,,
Mungkin,mbok menawa,mbok menawi/mbok bilih,,
Kapan (past),(dhek) kapan,kala menapa,-,
Kapan (future),(suk) kapan,benjing menapa,-,
Melihat,weruh,sumerep,priksa/pirsa,
Menonton,ndeleng/ndelok,ningali,mriksani/mirsani,
Ikut,melu,tumut,tindak,KA: ndherek
Baca,maca,maos,-,
Tulis,nulis,nyerat,-,
Mencuci baju,ngumbahi,nggirahi,-,
Main gamelan,nabuh,-,-,
Attractive/interesting,nengsemake,nengsemaken,,
Capek/penat,kesel,kesel,sayah,
Popular,kondhang,-,-,
Memuaskan/Satisfied,marem,-,-,
Tunggu (akan datang),ngenteni,ngentosi,-,Menunggu sesuatu yang akan datang
Cari,golek,pados,-,mencari sesuatu yang belum ada cth: golek di Google
Gampang,gampang,gampil,-,
Ternyata,jebul,-,-,
Kenyang,wareg,tuwuk,-,
Taste,nyicipi,-,-,
Garam,uyah,serem,-,
Penjual di pasar,bakul,-,-,
Awal,gasik,-,-,
Beda,beda,benten,-,
Maka/jadi,mula,mila/pramila,-,
Majikan/business owner,juragan,-,-,
ART,rewang,rencang,abdi,
Upah,opah,epah,-,
Gaji,bayar,gaji,-,
Pekerjaan,gawean,pedamelan,-,
Unemployed,nganggur,-,-,
Apply for a job,nglamar,-,-,
Hari,dina,dinten,-,
Minggu,minggu,-,-,
Bulan,sasi,wulan,-,
Tahun,taun,taun/warsa,-,
Depan,ngarep,ngajeng,-,
"Dulu, yang lalu",kepungkur,kepengker,-,
Hari-hari Jawa,pasaran,pekenan,-,"Pon, Wage, Kliwon, Legi, Paing"
Lusa (before),wingine/wingenane,kala winginipun,-,
Ketika,nalika,-,-,
Nikah,rabi/omah-omah/ijab/dadi manten,rabi/ijab/dados temanten,krama,
Pengantin,manten,temanten,,
Stay awake at night,lek-lekan,lek-lekan,wungon,
Kelihatan,katon,katingal/ketingal,-,
Lusa (after),sesuke,benjingipun,-,
Bila (past),dhek,(kala)/nalika,-,
Bila (future),(be)suk,-,-,
Beberapa hari sebelumnya,dhek emben,-,-,
Beberapa hari kedepan,suk emben,-,-,
Dulu (long time ago),biyen,rumiyin,-,
Keluarga besar,sadulur/sedulur,sadherek/sedherek,-,
Sulung,mbarep,mbajeng,,
Mengirim,ngirim,ngintun,-,
Menerima,nampa,nampi,-,
Belanja,blanja,-,-,
"Mencuci piring, alat dapur",asah-asah,-,-,
Mencuci tangan & kaki,wisuh,wijik,-,
Mencuci muka,raup,raup,suryan,
Mendengarkan,ngrungokake,mirengaken,midhangetaken,
Mencuci,ngumbah,nggirah,-,
Dapat / dapat izin / menerima,entuk/oleh,angsal/pikantuk/(pareng),-,get permission cth: kepareng matur - minta izin untuk bicara
Ramah/Friendly,grapyak,-,-,
Hidup,urip,gesang,sugeng,
Dapur,pawon,dhapur,-,
Mendengar,krungu,mireng,midhanget/miarsa,
Terdengar,keprungu,kapireng,kapiarsa,
Berlari,mlayu,mlajar/mlajeng,-,
Berenang,nglangi,-,-,
Pernah,tau,nate,-,
Jarang,arang-arang,awis-awis,-,
Biasanya,Adate/Biasane,Adatipun/Biasanipun,-,
Pasti/Selalu,mesthi/(tansah),temtu,-,
Sawah,sawah,sabin,-,
Padi,pari,pantun,-,
Unmilled rice in storage,gabah,-,-,
Beras,beras,(u)wos,-,
Broken rice (utk kuih etc),menir,,-,
Crops planted in dry season,palawija,,-,"Padi planted in wet season, palawija like jagung etc planted in dry season"
Harvest with knife,ani-ani,,-,
(Musim) hujan,rendheng,,-,
(Musim) panas,ketiga,benter,-,behn-terrr
Keadaan,kahanan,kewontenan,-,"ka-ana-an, ke-wonten-an"
Hampir,meh,,-,
Musim,mangsa,,-,dipun-mangsa = dimakan
Dingin,adhem,asrep,,
Dibandingkan,tinimbang,,,
Tetapi,n(ang)ing,,,
Menurut,manut,miturut,,
Dekat,cedhak,celak,,
Panjang,dawa,panjang,,
Pendek (length),cendhak,cendhak/celak/,,cekak
Tinggi,dhuwur,inggil,,
Pendek (short),cendhek,andhap,,
Tebal,kandel,,,
Tipis,tipis,,,
Gemuk,lemu,lema,,
Kurus,kuru,kera,,
Baru,anyar,enggal,,
Lama,lawas,lami,,used for things
Ramai (lively),rame,,,
Sepi,sepi,sepen,,
Bersih,resik,,,
Kotor,reged,,,
Berat,abot,awrat,,
Ringan,entheng,,,and-theng
Rajin,sregep,,,
Malas,kesed,,,
Sempit,ciyut,,,
Kaya,sugih,,,
miskin,mlarat,,,
Luas (for area),amba,wiyar,,
Dan juga,tur,,,
Kelihatannya/Sepertinya,ketoke,ketingalipun,,
Oleh,dene,dening,,
Luas (for smaller things),jembar,,,"untuk kamar, kasur meja etc"
Selalu,,tansah,,
Takut,wedi,ajrih,,
Seterusnya,banjur,lajeng,,
Jelas,cetha,,,
Kumis,brengos,,,
Lemari,lemari,lemantun,,
Awal/early,mruput,,,
Melayani,ngladeni,ngladosi,,
Sepertinya/Misalnya/Contohnya,kayata/antarane,kadosta/antawisipun,,
Menjemput,methuk,mapag,,dipethuk = dijemput
Pengumuman,wara-wara,,,
Lewat (Pass through),liwat/metu,langkung,miyos,
Tertinggal,keri,kantun,,"cth: [objek] keri, kunciku keri"
Hilang,ilang,ical,,
Kehilangan,kelangan,kecalan,,
Mencari,nggoleki,madosi,,mencari sesuatu yang ada tapi hilang cth: nggoleki HP-ku
Separuh,separo,sepalih,,
Kadang-kadang,kala-kala,kadhang kala,,
Akan,bakal,,,
Ciri-ciri,pawakane,pawakane/badanipun,sariranipun,
Kulit,pakulitane,,,
Kesehatan,kawarasan,kasarasan,,cth: njagi kasarasan sarira
Salah satu,Salah sawijining,Salah satunggalipun,,
Kasi,meneh,,,diwenehi
Sibuk,sibuk/akeh kagiyatane,,,
Main/pergi untuk santai,dolan,,,
Main,dolanan,,,eg. dolanan HP
Minta tolong,njaluk tulung,,,
Kena,kena,,,
Kocek,sak,,,"cth: sak klambi, sak-sak"
Mencuri,nyolong,,,
Sebagai,minangka,,,
ingin,pengen,,,
Kebetulan,kebeneran,kaleresan,,
Tujuan,jujugan,,,
Senang-senang,,remen-remen,,
Pasir,wedhi,pasir,,
Labu,waluh,,,
Tertarik,,keseng-seng,,
Katanya,jarene,sanjangipun,,
Bahaya,bebaya,,,
Tanah,,siti,,
Kecuali,kejaba/kajaba,kejawi,,
Ternyata,,kejebul,,
Ganti,ganti,gantos,,
Oleh-oleh,oleh-oleh,angsul-angsul,,
Laut,segara,seganten,,
Memberi/Kasi,menehi,nyukani/maringi,maringi,
Snek/Snack,camilan/cemilan/nyamikan/klethikan,,,klethikan: snek yg ada bunyi ketika kunyah - klethik-klethik
Semoga,moga-moga,mugi-mugi,,
Kepala,sirah,mustaka,,endhas untuk kepala cth: endhas ayam
Mulai/Sejak,wiwit,,,
Sejak,kawit,,,
Mengundang,ngundang,ngundang,ngaturi,
Terbiasa,kulina,kulinten,,"dikulinakake cth: wis kulina, ora krasa pana, ora kulina, durung kulina"
Mulut ke mulut,gethok tular,,,Word of mouth
Bingung,gumun,,,
Manfaat,manpaat,,,
Ginjal,ginjel,,,
Sembuh,mari,mantun,dhangan,cth: mugi-mugi enggal dhangan
Segera,enggal,,,cth: kula nedha obat supados enggal mantun
Sehingga,saengga,,,cth: kula sampun ngombe obat saengga sakmenika sampun mantun
Umpama,umpama,umpami,,cth: umpama aku isih enom
Badan/Tubuh,awak,badan,sarira,
Panggil,ngundang,ngundang,nimbali,
Istirehat,ngaso,leren,,
Airnya hilang,asat,,,cth: sumure asat
Dua kali,ping pindho,,,
Bergerak,obah,,,diobahake = digerakkan
Pertama,sepisan,ingkang sepisan,,
Terakhir,,pungkasan,,
Kurang,suda,,,nyuda
Tidak begitu/tidak terlalu,ora pati,mboten pados/mboten patos,,"a phrase, cannot be separated"
Sama sekali/at all,babar pisan/babar blas,,,cth: durung/dereng....babar pisan
Panas,panas,benter,,behn-terr
Padahal,kamangka,,,namun
Nggak mau,moh/wegah/gah,,,
Daripada,tinimbang,,,
Hujan,udan,jawah,,cth: jawah deres
Sehat,waras,,,
Setuju,sarujuk,,,
Seperti itu/segitu,semono/semana,,,
Nyamuk,lemut,,,
Anjing,asu,,,
Hamil,meteng,,,
Menarik/Interesting,nengsemake,,,
Tarik,nggered,,,
Setuju,,sarujuk,,
Runtuh,,ambruk,,
Murah hati/generous,,loma,,
Terjadi,,kedadosan,,
Kejadian/Peristiwa,,kedadosan,,
Menderita,nlangsa,,,sangsara = penderitaan
Kasihan,nlangsa,,,
Mengalami,nandang,,,
Cocok,terep,,,
Ternyata,nyatane,,,kasunyatane = kenyataannya
Walaupun/meskipun,arepa/sanajan/senajan,,,
Ambil,njupuk,,,
Sebenarnya,sakjane,sejatosipun,,
Hantu/Setan,memedi/demit,,,
Ingat,eling,emut,,
Dengan,kanthi,,,"rather formal, not used in everyday speech"
Rata,,radin,,
Patung,reca,,,
Batu,watu,sela,,
Memandang,nyawang,,,"sesawangan = pemandangan
cth: urip iku wang sinawang"
Mendukung,sengguyung,,,
Membunuh,mateni/merjaya,mejahi,,"cth: mateni lampu, merjaya orang saja"
Mati,mati,pejah,seda,meninggal dunia: tilar donya
Selain/Kecuali,kejaba,kejawi,,
Matahari,surya/srengengene,,,"cth: srengengene angslup (terbenam)
srengengene njdedhul (terbit)"
Muncul,njedhul,,,
Tamak,serakah,,,
Pemandangan,sesawangan,,,
Harum,wangi,,,
Bau,ambu,ambet,,
Gemuruh,gumrubug,,,
Peninggalan,tinggalan,tilaran,,
Mendekati,nyedhaki,nyelaki,,
Udara/Cuaca,hawa,,,
Menginap,nginap,nyipeng,,
Gempa bumi,lindhu,,,
Daerah/Wilayah,tlatah/laladan/dhaerah,,,
Menakutkan,nggegirisi,,,
Tiba-tiba,dumadakan,,,
Lantai,jogan,,,
Melorot,mlorot,,,
Seandainya/bagaikan,prasasat,,,use prasasat with analogy bagaikan <analogy>
Semakin,Sangsaya/sansaya/saya/tansaya,,,
Membuat diam dari menangis,ngeneng-nengi,,,
Tumpah,mbludak,,,
Terkejut,kaget,,,
Tarik,nggered,,,
Takut,wedi,ajrih,,
Gementar,ndhredheg,,,
Khawatir/Worried,was-was/sumelang,,,
Menderita/Kasihan,nlangsa,,,
Pucat,pucet,,,
Lega,lega,,,
Roof tile,gendheng-gendheng,,,
Rosak,rusak,risak,,
Sekelilingnya,sakiwa tengene,,,
Menyebabkan,ndadekake,,,
Sedih,susah,,,
Kehilangan,kelingan/kelangan,,,
Hujan tiada henti,nggrejih,,,
Memberitahu,ngandhani/ngadani,,,memberi nasihat
Berteriak-teriak,bengok-bengok,,,Screaming
Peduli/Sadar/Perhatikan,nglegewa,,,
Rasa/Feel,rumangsa,,,
Berdebar,dheg-dhegan,,,
Jatuh,tiba,dhawah,,
Pengsan,semaput,,,
Dinjak-injak,kepidak-pidak,,,
Beruntung,begja,,,
Mengalami,nemoni,,,cth: nemoni cilaka
Perut,weteng,weteng,padharan,
Sama sekali/at all,babar pisan,,,
Daripada/compared to,tinimbang,,,
Terpotong,,tugel,,
Batuk,watuk,watuk,cekoh,
Pusing,mumet/ngelu,mumet/ngelu,puyeng,
Nyaman/enak,kepenak,sekeca,,
Pilek/Runny nose,pileg,,,
Sembuh,mari,mantun,dhangan,
Kepala,sirah,sirah,mustaka,
Menginap di rumah sakit,mondhok,,,also used for those who stay in pesantren
Masuk angin,mangsuk angin,,,
Periksa,priksa,,,
Dokter/Medical field,Ndhokteran,,,
Menjenguk,tilik,,,"biasanya digunakan untuk situasi kesehatan cth: tilik wong lara, tilik bayi, tilik bocah sunat"
Rumah sakit,rumah sakit,griya sakit,,
Penyakit,lelara,(se)sakit,,
Dihantar,diterke,,,
Memperbaiki/fix,ndandani,ndandosi,,
(humid),sumuk,,,body feels sumuk when humid weather
Pakai,ngangge,,ngasta,dipun-angge
Gunung,,redi,,
Puncak,,pucuk,,
Air,banyu,toya,,
Kuda,jaran,,,
Meditasai,tapa,,,
Sungai,kali,lepen,,
Haunted/Keras,angker,,,
Suara,,swanten,,
Gendang,,kendhang,,
Hutan,alas,,,
Air terjun,grojogan,,,
Reincarnation,titisan,,,
Menderita,nandhang,,,
Berhidup,ngaurip,ngagesang,,
Terus terang,bloko,,,
Disebut,sinebut,sinebat/dipun-sebat/dipun-namiaken,,
Disebut,diarani,dipun-wastani,,
Mematahkan,nugelake,nugelaken,,mematahkan objek
Mortar & pestle,gandhik & pipisan,,,
Steamer,dandang,,,cth: dandang sega
Diperhatikan,digatekake,dipun-gatosaken,,
Dilakukan,dilakoni,dipun-lampahi,dipun-tindakaken,
Sinful behaviour,nistha,,,"such as murder, infidelity"
Beberapa,sawatara/sawetara,sawatawis,,
Wayang kulit,wayang kulit,ringgit wacucal,,
Kulit,kulit,wacucal,,
Wayang,wayang,ringgit,,
Nanggap,nanggap,,,mengundang dan menyelengarakan
Merdeka,mardika,,,
Berarti,,ateges,,
Mendapat,kenging,,,
Kecelakaan/Musibah,alangan/cilaka,,,
Harmoni bersama-sama,guyub lan rukun,,,
Syaratnya,saranane,,,
Parah,nemen,,,
Katanya,jarane,,,
Hal,babagan,,,
Terkenal,kondhang,,,
Menurut,miturut,,,manut (ngoko) - very informal and usually used for young children to obey (patuh)
Sebagai,minangka,,,
Pemberian,,paringan,,
Pendapat,panemu,pemanggih,,
Tempat istirehat/villa,Pesanggrahan,,,Pesanggrahan raja
Melestarikan,nguri-uri,,,
Hubungan,sesambungan,sesambetan,,
Menunggu,ngadhang,,,menunggu kedatangan di jalan
Lincah/Active,gesit,,,
Semoga segera sembuh,,Mugi-mugi enggal dhangan,,
Rambut,rambut,rambut,rikma,
Hidung,irung,irung,grana,
Mata,mata,mripat,soca/paningal,
Sipit,sipit,,,
Gigi,untu,waos,waja,
Badan,awak,badan,sarira/salira,
Bulu mata,idep,idep,ibing,
Ramping,langsing,,,
Bibir,lambe,tutuk,lathi,
Mata yang besar,mblalak-blalak,,,
Kurus,kuru,kera,,
Gemuk,lemu,lema,,
Mancung,mbangir,,,
Pesek,pesek,,,
Hal tentang kulit,pakulitane,pakulitanipun,,
Alis,alis,alis,imba,
Rambut panjang berombak/wavy,ngombak,,,
Cerewet,crigis,,,
Cengeng,gembeng,,,
Manja,aleman,,,
Bongsu,ragil,wuragil,,
Marah,nesu,,,
Patuh,manut,,,cth: manut marang wong tuwa
Bawa,nggawa,mbekta,ngasta,
Tanah,lemah,siti,,
Berat,bobot,,,
Membuang,mbuwang,mucal,,
Menjelaskan,njelasaken/njlenteraken,,,
Sampah,uwung,,,
Sembarangan/Dimana-mana,sak nggon-nggon,,,
Snek/snack,nyami'an,,,informal: cemilan
Pikir/fikir,mikir,mikir,menggalih,"cth: nembe menggalih menapa? - lagi pikir apa
sampun dipun-penggalih! - jangan dipikir
"
Rela,,rila,,cth: rila gugur - rela mati
Putus,pedhot,pedhot,,"cth: antriane dawa, ora pedhot"
Kalah,kawon,,,
Benar,tenan/temen,,,
Menarik/Tarik,ndudut/narik,,,ndudut = rokok
Cita-cita,gegayuhan,,,
Mencapai/To reach,nggayuh,,,
